title,year,synopsis
NINE DAYS,2021,"Will spends his days in a remote outpost watching the live Point of View (POV) on TV's of people going about their lives, until one subject perishes, leaving a vacancy for a new life on earth. Soon, several candidates — unborn souls — arrive"
AFTER WE FELL,2021,"The third installment of the “After” franchise finds Tessa starting an exciting new chapter of her life. But as she prepares to move to Seattle for her dream job, Hardin’s jealousy and unpredictable behavior reach a fever pitch and threaten to"
INJUSTICE,2021,"Injustice finds an alternate world gone mad - where The Joker has duped Superman into killing Lois Lane, sending the Man of Steel on a deadly rampage. Unhinged, Superman decides to take control of the Earth for humanity’s own good."
DON'T BREATHE 2,2021,"The Blind Man has been hiding out for years in an isolated cabin and has taken in and raised a young girl orphaned from a house fire. Their quiet existence is shattered when a group of kidnappers show up and take the girl, forcing the"
OLD,2021,"A family on a tropical holiday discover that the secluded beach where they are relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day."
STILLWATER,2021,"An American oil-rig roughneck travels to Marseille, France, to visit his estranged daughter, in prison for a murder she claims she didn't commit. Confronted with language barriers, cultural differences and a complicated legal system, he soon"
SPECTRE,2015,"A cryptic message from the past sends James Bond on a rogue mission to Mexico City and eventually Rome, where he meets Lucia Sciarra, the beautiful and forbidden widow of an infamous criminal. Bond infiltrates a secret meeting and uncovers"
FREE GUY,2021,"A bank teller who discovers he is actually a background player in an open-world video game decides to become the hero of his own story… one he rewrites himself. Now in a world where there are no limits, he is determined to be the"
SPACE JAM: A NEW LEGACY,2021,"Superstar LeBron James and his young son, Dom, get trapped in digital space by a rogue AI. To get home safely, LeBron teams up with Bugs Bunny, Daffy Duck and the rest of the Looney Tunes gang for a high-stakes basketball game against"
PAW PATROL: THE MOVIE,2021,"When PAW Patrol's biggest rival, Humdinger, becomes Mayor of nearby Adventure City and starts wreaking havoc, Ryder and friends kick into high gear to face the challenge head on. While one pup must face his past in Adventure City,"
PETER RABBIT 2,2021,"The lovable rogue is back. Bea, Thomas, and the rabbits have created a makeshift family, but despite his best efforts, Peter can’t seem to shake his mischievous reputation. Adventuring out of the garden, Peter finds himself in a world"
THE NIGHT HOUSE,2021,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. She tries as best she can to keep it together – but then nightmares come. Disturbing visions of a presence in the house calling to her,"
DREAM HORSE,2021,"The true story of Dream Alliance, an unlikely racehorse bred by small-town bartender Jan Vokes. With very little money and no experience, Jan convinces her neighbors to chip in their meager earnings to help raise Dream and compete with"
FALSE POSITIVE,2021,"After months of trying and failing to get pregnant, Lucy and Adrian finally find their dream fertility doctor in the illustrious Dr. Hindle. But after becoming pregnant with a healthy baby girl, Lucy begins to notice something sinister"
BLACK WIDOW,2021,"At birth the Black Widow (aka Natasha Romanova) is given to the KGB, which grooms her to become its ultimate operative. When the U.S.S.R. breaks up, the government tries to kill her as the action moves to present-day New York where she is a freelance operative."
THE GREEN KNIGHT,2021,"Sir Gawain, King Arthur’s reckless and headstrong nephew, who embarks on a daring quest to confront the eponymous Green Knight, a gigantic emerald-skinned stranger and tester of men. Gawain contends with ghosts, giants, thieves,"
ROADRUNNER: A FILM ABOUT ANTHONY BOURDAIN,2021,"It’s not where you go. It’s what you leave behind. Chef, writer, adventurer, and provocateur Anthony Bourdain lived his life unabashedly. ‘Roadrunner: A Film About Anthony Bourdain’ is an intimate, behind-the-scenes look at how an anonymous"
ESCAPE ROOM: TOURNAMENT OF CHAMPIONS,2021,Survivors of previous escape rooms find themselves in a new and increasingly elaborate game filled with deadly traps.
F9: THE FAST SAGA,2021,"Dom Toretto is living the quiet life off the grid with Letty and his son, but they know that danger always lurks just over the peaceful horizon. This time, that threat forces Dom to confront the sins of his past to save those he loves most. His"
THE HITMAN'S WIFE'S BODYGUARD,2021,"The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into action by Darius’s even more volatile wife, the infamous"
SNAKE EYES: G.I. JOE ORIGINS,2021,"An ancient Japanese clan called the Arashikage welcomes tenacious loner Snake Eyes after he saves the life of their heir apparent. Upon arrival in Japan, the Arashikage teach him the ways of the ninja warrior while also providing him"
THE FOREVER PURGE,2021,"Adela and her husband, Juan, live in Texas, where he works as a ranch hand for the wealthy Tucker family. Juan impresses the Tucker patriarch, Caleb, but that fuels the jealous anger of his son, Dylan. On the morning after the Purge,"
INFINITE,2021,"For Evan McCauley, skills he has never learned and memories of places he has never visited haunt his daily life. Self-medicated and on the brink of a mental breakdown, Evan is sought by a secret group that call themselves ""Infinites,"" revealing"
MIDNIGHT IN THE SWITCHGRASS,2021,"While in Florida on another case, FBI agents Helter and Lombardi cross paths with state cop Crawford, who’s investigating a string of female murders that appear to be related. But when Lombardi herself is kidnapped, it’s a race against"
MORTAL KOMBAT,2021,"MMA fighter Cole Young, accustomed to taking a beating for money, is unaware of his heritage–or why Outworld’s Emperor Shang Tsung has sent his best warrior, Sub-Zero, an otherworldly Cryomancer, to hunt Cole down. Fearing for his"
GODZILLA VS. KONG,2021,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages. As Monarch"
CRUELLA,2021,"Estella is a young and clever grifter who's determined to make a name for herself in the fashion world. She soon meets a pair of thieves who appreciate her appetite for mischief, and together they build a life for themselves on the streets"
THE ICE ROAD,2021,"After a remote diamond mine collapses in the far northern regions of Canada, an ice driver leads an implausible rescue mission over a frozen ocean to save the lives of trapped miners despite thawing waters and a threat they never see coming."
THE COMEBACK TRAIL,2021,A man casts a has-been actor in a western in order to kill him during the first week of production as part of an insurance fraud scheme to pay off his debt to a mob boss.
SPIRIT: UNTAMED,2021,"Lucky Prescott never really knew her late mother, Milagro Navarro, a fearless horse-riding stunt performer from Miradero, a small town on the edge of the wide-open frontier. Like her mother, Lucky isn’t exactly a fan of rules and restrictions,"
JOE BELL,2021,"An Oregonian father pays tribute to his gay teenage son Jadin, embarking on a self-reflective walk across America to speak his heart to heartland citizens about the real and terrifying costs of bullying."
PRISONERS OF THE GHOSTLAND,2021,"In the treacherous frontier city of Samurai Town, a ruthless bank robber is sprung from jail by wealthy warlord The Governor, whose adopted granddaughter Bernice has gone missing. The Governor offers the prisoner his freedom in exchange"
THE MISFITS,2021,"Even a federal maximum-security prison can't hold Richard Pace, a brilliant international thief. But his daring escape and high-octane car chase, eluding the FBI and police, ends with him being scooped up by The Misfits, a band of modern-day"
NOBODY,2021,"Hutch Mansell fails to defend himself or his family when two thieves break into his suburban home one night. The aftermath of the incident soon strikes a match to his long-simmering rage. In a barrage of fists, gunfire and squealing"
TILL DEATH,2021,"A trophy wife’s psychotic and controlling husband kidnaps her to a romantic remote getaway location and kills himself while she’s handcuffed to him. She’s left to fight for her life, facing two dangerous men he’s sent to kill her."
THE GATEWAY,2021,"Parker, a down-on-his-luck social worker, finds himself in over his head when he tries to protect his client from her recently paroled husband. Parker must save the family from the violent threat of the maniacal drug dealer who is desperate to reclaim his priceless stash."
WONDER WOMAN 1984,2020,"Diana Prince lives quietly among mortals in the vibrant, sleek 1980s -- an era of excess driven by the pursuit of having it all. Though she's come into her full powers, she maintains a low profile by curating ancient artifacts, and only performing"
SPIRAL: FROM THE BOOK OF SAW,2021,"Working in the shadow of an esteemed police veteran, brash Detective Zeke and his rookie partner take charge of a grisly investigation into murders that are eerily reminiscent of the city’s gruesome past. Unwittingly entrapped in a deepening"
A QUIET PLACE PART II,2021,"Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they continue their fight for survival in silence. Forced to venture into the unknown, they quickly realize that the creatures that hunt"
HARRY POTTER AND THE SORCERER'S STONE,2001,"Harry Potter has learned to live with his bullying Uncle Vernon, his callous Aunt Petunia and the constant whining of his greedy, spoiled cousin Dudley. He's even learned to live with sleeping in the cupboard under the stairs. Harry's relatives"
THE CROODS: A NEW AGE,2020,"The Croods now face something that will shake their pack to its core and make them reconsider everything they hold true: another family. Searching for a new place to live, the Croods discover an idyllic walled-in paradise that meets all"
THE ADDAMS FAMILY,2019,"Based on the famous New Yorker creations of Charles Addams, this animated action-comedy follows the Addams family whose lives begin to unravel when they face-off against a crafty reality-TV host while also preparing for their"
PIG,2021,"A reclusive truffle hunter in Oregon whose prize hunting pig is kidnapped, forcing him to return to old stomping grounds in Portland and confront his past."
PROFILE,2021,"A journalist who created a false Facebook profile to investigate the recruitment of young European women by ISIS, becomes dangerously involved with a male jihadist online."
ZONE 414,2021,"Zone 414 is a dangerous colony of humanoids known as the city of robots. The colony's creator hires private investigator David Carmichael to track down his missing daughter. David teams up with Jane, an advanced AI equipped with the"
DEMONIC,2021,A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.
QUEEN BEES,2021,"An independent widow moves into a residential home and must learn how to negotiate cliques, powerplays and flirtatious suitors."
